

<class 'kernel_fca_oo.FreqLexiSeriateSystem'>
10 0.324746 0.5208333333333334
20 0.8289852000000001 0.6990291262135923
30 1.2597981 0.7046979865771812
40 1.5520967999999997 0.7093596059113301
50 1.8954673999999994 0.637065637065637
60 2.613544900000001 0.7449664429530202
70 3.0099174999999985 0.723463687150838
80 3.9012749999999983 0.7487179487179487
90 4.257485499999998 0.6873614190687362
100 4.589559600000001 0.7376425855513308
110 5.215963000000002 0.7445652173913043
120 5.750814900000002 0.7439613526570048
130 5.889393200000001 0.7476340694006309
140 7.2810609 0.7733142037302726
150 7.9162131 0.7407407407407407
160 7.6579267999999985 0.7593052109181141
170 8.984205200000005 0.7837514934289128
180 8.278996800000002 0.7396514161220044
190 8.7595496 0.7679324894514767
<class 'kernel_fca_oo.FCASystemDF'>
10 1.260542799999996 0.44642857142857145
20 4.273393100000007 0.7391304347826086
30 7.997422700000001 0.7
40 15.328164399999991 0.8492462311557789
50 19.497104199999995 0.8870967741935484
60 23.907109899999995 0.8120805369127517
70 31.574941199999984 0.834733893557423
80 33.99367079999999 0.8684863523573201
90 42.30415390000002 0.8333333333333334
100 47.18427479999997 0.8932806324110671
110 58.97391819999996 0.9358288770053476
120 67.7672981 0.8846815834767642
130 69.14477490000002 0.890937019969278
140 63.31717140000001 0.88
150 88.86618109999995 0.9409395973154362
160 92.23277199999995 0.8881748071979434
170 102.2662163 0.9236276849642004
180 114.80967150000004 0.9248554913294798
190 126.6664283 0.9494505494505494
